LA Name,Centre Type,School Name,Address Line1,Address Line2,Address Line3,Post Code,Unique Property Reference Number (UPRN)
North Lanarkshire,Local Authority,Firpark Primary School,Milton Street,Motherwell,,ML1 1DH,118183036
Falkirk,Local Authority,St Bernadette's RC Primary School,Edward Avenue,Stenhousemuir,LARBERT,FK5 4XR,136078074
North Lanarkshire,Local Authority,Firpark Special School - Secondary,Firpark Street,Motherwell,,ML1 2PR,118059920
Highland,Local Authority,Ben Wyvis Primary School,Leanaig Road,Conon Bridge,,IV7 8BE,130165365
Glasgow City,Local Authority,Westmuir High School,255 Rigby Street,Glasgow,,G32 6DJ,906700216227
Na h-Eileanan Siar,Local Authority,Sgoil an Taobh Siar,Barvas,Isle of Lewis,,HS2 0RA,139020357
Inverclyde,Local Authority,Whinhill Primary School,Drumfrochar Road,Greenock,,PA15 4EQ,119001596
Dundee City,Local Authority,Camperdown Primary School,Buttars Street,Dundee,,DD2 4PQ,9059007154
Glasgow City,Local Authority,Highpark Primary School,100 Bilsland Drive,,GLASGOW,G20 9NY,906700496246
North Lanarkshire,Local Authority,Drumpark Primary School,Albert Street,Coatbridge,,ML5 3ET,118184852
North Lanarkshire,Local Authority,Buchanan High,67 Townhead Road,Coatbridge,,ML5 2HT,118184292
Edinburgh City,Local Authority,Bun-sgoil Taobh na Pairce (Parkside Primary),139b Bonnington Road,Edinburgh,,EH6 5NQ,906430147
North Lanarkshire,Local Authority,Cumbernauld Academy,South Kildrum Ring Road,Cumbernauld,,G67 2UF,118030833
South Lanarkshire,Local Authority,Park View Primary School,New Road,Halfway,CAMBUSLANG,G72 7PU,484175286
Falkirk,Local Authority,Inclusion and Wellbeing Service,Bog Road,Laurieston,FALKIRK,FK2 9PB,136075188
Aberdeen City,Local Authority,Brimmond School,Netherhills Place,Bucksburn,ABERDEEN,AB21 9DF,9051145398
Clackmannanshire,Local Authority,Redwell primary school,Stirling Road,Alloa,,FK10 2BS,35028343
West Lothian,Local Authority,Connolly Campus School,Hopefield Road,BLACKBURN,WEST LOTHIAN,EH47 7HZ,200004138717
South Lanarkshire,Local Authority,Kear Campus,Bardykes Road,Blantyre,,G72 9UJ,484175685
East Dunbartonshire,Local Authority,East Dunbartonshire Central School,New College Lanarkshire Kirkintilloch Campus,50 Southbank Road,KIRKINTILLOCH,G66 1NH,132054978
North Ayrshire,Local Authority,Elderbank Primary School,St Kilda Bank,Broomlands,IRVINE,KA11 1LA,126061516
Glasgow City,Local Authority,Ashton Secondary School,100 Avenue End Road,,GLASGOW,G33 3SW,906700008741
Highland,Local Authority,Lundavra Primary School,Lundavra Road,Fort William,,PH33 6JN,130149724
Fife,Local Authority,Levenmouth Academy,Methilhaven Road,Buckhaven,FIFE,KY8 1HL,320315258
Glasgow City,Local Authority,Glendale Gaelic Primary School,2 Kenmuir Street,,GLASGOW,G41 1PH,906700509271
Highland,Local Authority,St Columba's RC Primary School,Glenkingie Street,Caol,FORT WILLIAM,PH33 7DP,130173754
